objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
clw_001,Clearwater Launch,,1969,"On May 17, 1969, the Clearwater lanuched from South Bristol, Maine. ",Pete Seeger; environment; the Clearwater; New England,"South Bristol, Maine",43.86305235,-69.56038449,,,,,,,,image,/objects,,,,
clw_002,Clearwater Build,,1969,"In the 1960s, Pete Seeger visited the ",,"South Bristol, Maine",43.86305235,-69.56038449,,,,,,,,,,,,,
